Clarke MacArthur | Ottawa Senators | Too many men/ice - bench | 10/30/2014 | Chicago Blackhawks | Home | Dan O'Rourke, Graham Skilliter
Craig Anderson | Ottawa Senators | Interference | 10/30/2014 | Chicago Blackhawks | Home | Dan O'Rourke, Graham Skilliter
Patrick Wiercioch | Ottawa Senators | Hooking | 10/30/2014 | Chicago Blackhawks | Home | Dan O'Rourke, Graham Skilliter
Patrick Wiercioch | Ottawa Senators | Holding | 11/01/2014 | Boston Bruins | Away | Justin St. Pierre, Steve Kozari
Alex Chiasson | Ottawa Senators | Slashing | 11/01/2014 | Boston Bruins | Away | Justin St. Pierre, Steve Kozari
Clarke MacArthur | Ottawa Senators | Holding | 11/01/2014 | Boston Bruins | Away | Justin St. Pierre, Steve Kozari
Erik Karlsson | Ottawa Senators | Interference | 11/04/2014 | Detroit Red Wings | Home | Jean Hebert, Brad Watson
Chris Neil | Ottawa Senators | Tripping | 11/04/2014 | Detroit Red Wings | Home | Jean Hebert, Brad Watson
Jared Cowen | Ottawa Senators | Holding | 11/04/2014 | Detroit Red Wings | Home | Jean Hebert, Brad Watson
Curtis Lazar | Ottawa Senators | Embellishment | 11/06/2014 | Minnesota Wild | Home | Dave Jackson, Dan O'Halloran
Mark Borowiecki | Ottawa Senators | Fighting (maj) | 11/06/2014 | Minnesota Wild | Home | Dave Jackson, Dan O'Halloran
Erik Karlsson | Ottawa Senators | Hi-sticking | 11/06/2014 | Minnesota Wild | Home | Dave Jackson, Dan O'Halloran
Patrick Wiercioch | Ottawa Senators | Interference | 11/06/2014 | Minnesota Wild | Home | Dave Jackson, Dan O'Halloran
David Legwand | Ottawa Senators | Tripping | 11/06/2014 | Minnesota Wild | Home | Dave Jackson, Dan O'Halloran
Chris Neil | Ottawa Senators | Delaying Game-Puck over glass | 11/06/2014 | Minnesota Wild | Home | Dave Jackson, Dan O'Halloran
Mark Borowiecki | Ottawa Senators | Fighting (maj) | 11/08/2014 | Winnipeg Jets | Home | Chris Lee, Brad Meier
Kyle Turris | Ottawa Senators | Hi-sticking | 11/08/2014 | Winnipeg Jets | Home | Chris Lee, Brad Meier
